BuyerAgentAOR,Flooring,ViewYN,PoolPrivateYN,CloseDate,ClosePrice,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,DaysOnMarket,BuyerOfficeName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,AssociationFeeFrequency,MLSAreaMajor,CountyOrParish,MlsStatus,ElementarySchool,AttachedGarageYN,ParkingTotal,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,StreetNumberNumeric,BathroomsTotalInteger,City,BuildingAreaTotal,BedroomsTotal,ContractStatusChangeDate,PurchaseContractDate,ListingContractDate,StateOrProvince,MiddleOrJuniorSchool,FireplaceYN,Stories,HighSchool,Levels,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,Group
Mlslistings,"Tile,Wood",True,Unknown,2026-01-02,11706000.0,37.43945592,-122.23318004,151 Eleanor Drive,Residential,4636.0,0,Compass,ML5099334,Julie,Hadidi,Unknown,699 - Not Defined,San Mateo,Closed,Las Lomitas,False,2.0,SingleFamilyResidence,1.1758,Unknown,Mlslistings,2021.0,151.0,6.0,Woodside,0.0,4.0,2026-01-02,2026-01-02,2026-01-02,CA,Other,True,0.0,Unknown,Unknown,51219.0,0.0,False,2.0,Other,94062,0.0,51219.0,Single Family Residential
BeverlyHillsGreaterLa,"Tile,Vinyl,Wood",True,False,2026-01-31,4000.0,34.079147,-118.314804,5030 Rosewood Avenue 502,ResidentialLease,1250.0,0,Christie's International Real Estate SoCal,CLW-C138606,Kiara,Gudgeon,Unknown,C18 - Hancock Park-Wilshire,Los Angeles,Closed,Unknown,Unknown,2.0,Condominium,0.3098,Unknown,BeverlyHillsGreaterLa,2018.0,5030.0,2.0,Los Angeles,1250.0,3.0,2026-01-31,Unknown,2026-01-31,CA,Unknown,False,1.0,Unknown,One,13496.0,0.0,False,2.0,Unknown,90004,0.0,13496.0,Other
Delta,Laminate,Unknown,False,2026-01-31,2975000.0,37.87801018,-121.86846029,Unknown,Residential,1600.0,0,"Shewey Realty, Inc.",BMLS-CR365756946,Justin,Corvelo,Unknown,Unknown,Contra Costa,Closed,Unknown,True,0.0,SingleFamilyResidence,5.468,Unknown,Unknown,1980.0,0.0,1.0,Clayton,0.0,2.0,2026-01-31,2026-01-31,2026-01-31,CA,Unknown,False,1.0,Unknown,One,238186.0,0.0,False,0.0,Unknown,94517,0.0,238186.0,Single Family Residential
SouthBay,"Tile,Wood",False,False,2026-01-30,1340000.0,33.869257,-118.37872,1903 Grant B,Residential,1702.0,0,Compass,sbbillbro,Brook,Billings,Unknown,152 - N Redondo Bch/Villas South,Los Angeles,Closed,Birney,True,5.0,Townhouse,0.1141,Unknown,SouthBay,1989.0,1903.0,2.0,Redondo Beach,0.0,3.0,2026-01-30,2026-01-26,2025-10-20,CA,Adams,True,0.0,Redondo Union,ThreeOrMore,4970.0,0.0,False,2.0,Redondo Unified,90278,0.0,4970.0,Other
OrangeCounty,Unknown,True,False,2026-01-30,720000.0,34.083995,-118.066006,4228 Claudia,Residential,937.0,0,Compass,OCGUZMAAR,Aaron,Guzman,Unknown,699 - Not Defined,Los Angeles,Closed,Unknown,False,2.0,SingleFamilyResidence,0.1888,Unknown,OrangeCounty,1947.0,4228.0,1.0,Rosemead,0.0,2.0,2026-01-30,2026-01-30,2026-01-30,CA,Unknown,True,1.0,Unknown,One,8224.0,2.0,False,2.0,El Monte Union High,91770,0.0,8224.0,Single Family Residential
Southland,Unknown,False,False,2026-01-29,600000.0,34.275406,-118.415425,11301 De Haven,Residential,1267.0,0,None MRML,none,NONE,NONE,Unknown,PAC - Pacoima,Los Angeles,Closed,Unknown,True,2.0,SingleFamilyResidence,0.1542,Unknown,Mrmls,1954.0,11301.0,1.0,Pacoima,0.0,3.0,2026-01-29,2026-01-28,2026-01-27,CA,Unknown,False,1.0,Unknown,One,6716.0,3.0,False,2.0,Los Angeles Unified,91331,0.0,6716.0,Single Family Residential
OrangeCounty,Unknown,Unknown,False,2026-01-30,850000.0,33.723079999999996,-117.862703,1910 Oak,ResidentialIncome,0.0,0,Option West Realty,dbabidav,David,Babiracki,Unknown,69 - Santa Ana South of First,Orange,Closed,Unknown,Unknown,2.0,Duplex,0.13,other,OrangeCounty,1957.0,1910.0,0.0,Santa Ana,1485.0,0.0,2026-01-30,2026-01-30,2026-01-29,CA,Unknown,Unknown,2.0,Unknown,Two,5663.0,0.0,False,0.0,Unknown,92707,0.0,5663.0,Other
Mlslistings,Unknown,False,False,2026-01-30,1750000.0,37.26241566,-121.98937642,111 El Olivar,Residential,1637.0,0,Christie's International Real Estate Sereno,ML5076498,Janet,Souza,Quarterly,699 - Not Defined,Santa Clara,Closed,Unknown,True,2.0,Townhouse,0.0,Unknown,Mlslistings,1974.0,111.0,3.0,Los Gatos,0.0,3.0,2026-01-30,2026-01-30,2026-01-30,CA,Unknown,False,0.0,Unknown,Unknown,0.0,0.0,False,2.0,Other,95032,2045.0,0.0,Other
PacificWest,"Concrete,Tile",True,False,2026-01-30,15991988.0,33.700868,-117.978506,18016 Hazel Court,Residential,1920.0,0,None MRML,none,NONE,NONE,Monthly,16 - Fountain Valley / Northeast HB,Orange,Closed,Unknown,True,2.0,SingleFamilyResidence,0.0843,Oakpointe,Mrmls,2025.0,18016.0,4.0,Fountain Valley,0.0,4.0,2026-01-30,2026-01-30,2026-01-30,CA,Unknown,False,2.0,Unknown,Two,3670.0,0.0,True,2.0,Huntington Beach Union High,92708,212.0,3670.0,Single Family Residential
Mlslistings,"Tile,Wood",True,Unknown,2026-01-30,3636725.0,37.29377337,-121.88730231,947 Terra Bella Avenue,Residential,3185.0,0,Out of Area Office,ML162223,Unknown,RECIP,Unknown,699 - Not Defined,Santa Clara,Closed,Booksin,True,2.0,SingleFamilyResidence,0.2009,Unknown,Mlslistings,2026.0,947.0,4.0,San Jose,0.0,4.0,2026-01-30,2026-01-30,2026-01-30,CA,Willow Glen,True,0.0,Willow Glen,Unknown,8750.0,0.0,False,2.0,San Jose Unified,95125,0.0,8750.0,Single Family Residential
SierraNorthValley,"Carpet,Wood",True,True,2026-01-30,1500000.0,39.734488,-121.917101,3435 Oak,Residential,2899.0,0,The Stogan Group,CHloganwilson,Logan,Wilson,Unknown,Unknown,Butte,Closed,Unknown,True,3.0,SingleFamilyResidence,16.32,Unknown,SierraNorthValley,1998.0,3435.0,3.0,Chico,0.0,4.0,2026-01-30,2026-01-30,2026-01-30,CA,Unknown,True,1.0,Unknown,One,710899.0,4.0,False,3.0,Chico Unified,95973,0.0,710899.0,Single Family Residential
BayEast,"Carpet,SeeRemarks,Tile",Unknown,False,2026-01-30,750000.0,37.68390032,-121.79709301,481 Swallow Ct,Residential,1382.0,0,Bluebird Realty,CCBE-206519216,Emily,Hunter,Unknown,Unknown,Alameda,Closed,Unknown,True,2.0,SingleFamilyResidence,0.2078,SUMMERSET,BayEast,1970.0,481.0,2.0,Livermore,0.0,3.0,2026-01-30,2026-01-30,2026-01-30,CA,Unknown,True,1.0,Unknown,One,9052.0,0.0,False,2.0,Unknown,94551,0.0,9052.0,Single Family Residential
Conejo,"Carpet,Wood",True,False,2026-01-30,3175000.0,34.142990000000005,-118.866649,562 Cricketfield Court,Residential,3887.0,0,Compass,VCR-C159095341,Team,Nicki and Karen,Quarterly,WV - Westlake Village,Ventura,Closed,Unknown,Unknown,3.0,SingleFamilyResidence,0.132,Sherwood North Shore-795 - 795,Conejo,1994.0,562.0,4.0,Lake Sherwood,0.0,4.0,2026-01-30,2026-01-30,2026-01-30,CA,Unknown,True,0.0,Unknown,ThreeOrMore,5752.0,0.0,Unknown,3.0,Unknown,91361,761.0,5752.0,Single Family Residential
BeverlyHillsGreaterLa,Wood,False,False,2026-01-30,2000000.0,34.140333,-118.211195,5136 N Maywood Avenue,Residential,1343.0,86,MAISONRE,CLW-C124610,Sara,Lov,Unknown,618 - Eagle Rock,Los Angeles,Closed,Unknown,True,0.0,SingleFamilyResidence,0.278,Unknown,Malibu,1927.0,5136.0,2.0,Los Angeles,1343.0,3.0,2026-01-30,2024-11-14,2024-08-20,CA,Unknown,False,1.0,Unknown,One,12111.0,0.0,False,2.0,Unknown,90041,0.0,12111.0,Single Family Residential
PacificSouthwest,Unknown,True,False,2026-01-28,1100000.0,32.777747999999995,-116.923338,1135 San Lori Lane,Residential,2280.0,0,Realty Executives Dillon,241210,Mike,Aon,Unknown,92019 - El Cajon,San Diego,Closed,Unknown,True,2.0,SingleFamilyResidence,1.39,Unknown,PacificSouthwest,1984.0,1135.0,3.0,El Cajon,0.0,4.0,2026-01-28,2025-12-04,2025-11-21,CA,Unknown,True,2.0,Unknown,Two,1.39,3.0,Unknown,2.0,Cajon Valley Union,92019,0.0,60548.4,Single Family Residential
